Transaction,Prediction,Top Feature 1,Top Feature 2,Top Feature 3,Top Feature 4,Top Feature 5
0,Genuine,V12,V14,V3,V11,V10
1,Genuine,V14,V11,V12,V4,V10
2,Genuine,V3,V10,V12,V4,V14
3,Genuine,V12,V14,V3,V10,V17
4,Genuine,V12,V10,V4,V26,V1
5,Genuine,V14,V12,V3,V10,V17
6,Genuine,V12,V14,V4,V3,V10
7,Genuine,V4,V14,V3,V12,V11
8,Genuine,V14,V10,V12,V4,V17
9,Genuine,V4,V14,V3,V12,V10
10,Genuine,V12,V14,V3,V10,V17
11,Genuine,V14,V12,V17,V10,V16
12,Genuine,V14,V11,V12,V4,V10
13,Genuine,V12,V14,V11,V10,V4
14,Genuine,V4,V14,V3,V10,V12
15,Genuine,V4,V10,V3,V12,V14
16,Genuine,V12,V4,V14,V10,V17
17,Genuine,V4,V10,V12,V14,V17
18,Genuine,V4,V12,V14,V11,V10
19,Genuine,V14,V4,V3,V10,V16
20,Genuine,V14,V3,V10,V17,V4
21,Genuine,V4,V3,V11,V10,V14
22,Genuine,V12,V14,V11,V10,V17
23,Genuine,V12,V14,V10,V17,V4
24,Genuine,V14,V3,V10,V4,V12
25,Genuine,V12,V14,V3,V11,V4
26,Genuine,V14,V3,V4,V12,V10
27,Genuine,V12,V4,V14,V3,V11
28,Genuine,V14,V12,V10,V4,V17
29,Genuine,V14,V12,V3,V10,V17
30,Genuine,V4,V3,V14,V12,V11
31,Genuine,V12,V3,V11,V14,V10
32,Genuine,V14,V3,V12,V11,V10
33,Genuine,V12,V14,V3,V11,V4
34,Genuine,V4,V14,V12,V11,V3
35,Genuine,V14,V4,V3,V17,V10
36,Genuine,V12,V3,V8,V10,V14
37,Genuine,V11,V14,V3,V4,V10
38,Genuine,V12,V14,V3,V10,V17
39,Genuine,V12,V14,V3,V10,V17
40,Genuine,V3,V12,V11,V14,V10
41,Genuine,V14,V3,V12,V10,V17
42,Genuine,V12,V3,V14,V11,V10
43,Genuine,V12,V14,V3,V11,V10
44,Genuine,V4,V11,V3,V12,V10
45,Genuine,V4,V12,V14,V11,V10
46,Genuine,V4,V14,V11,V10,V12
47,Genuine,V12,V14,V3,V11,V4
48,Genuine,V12,V4,V14,V10,V11
49,Genuine,V12,V14,V10,V17,V4
50,Genuine,V4,V14,V3,V12,V11
51,Genuine,V4,V14,V12,V10,V3
52,Genuine,V4,V14,V3,V12,V11
53,Genuine,V14,V12,V3,V10,V11
54,Genuine,V14,V3,V4,V17,Time
55,Genuine,V12,V3,V14,V10,V4
56,Genuine,V10,V14,V12,V11,V4
57,Genuine,V14,V3,V12,V10,V17
58,Genuine,V4,V10,V3,V12,V14
59,Genuine,V14,V3,V10,V12,V11
60,Genuine,V14,V3,V11,V12,V4
61,Genuine,V10,V14,V12,V4,V11
62,Genuine,V14,V3,V12,V10,V11
63,Genuine,V4,V3,V14,V12,V10
64,Genuine,V14,V3,V12,V10,V11
65,Genuine,V4,V12,V10,V11,V17
66,Genuine,V12,V14,V10,V17,V11
67,Genuine,V14,V12,V10,V4,V17
68,Genuine,V4,V12,V14,V10,V11
69,Genuine,V14,V12,V10,V17,V4
70,Genuine,V12,V14,V17,V10,V4
71,Genuine,V12,V14,V10,V17,V4
72,Genuine,V12,V3,V10,V14,V4
73,Genuine,V4,V14,V12,V10,V11
74,Genuine,V4,V11,V12,V14,V10
75,Genuine,V14,V12,V3,V11,V10
76,Genuine,V12,V14,V10,V17,V16
77,Genuine,V4,V14,V3,V11,V10
78,Genuine,V3,V12,V11,V4,V17
79,Genuine,V4,V10,V14,V12,V17
80,Genuine,V4,V14,V3,V12,V10
81,Genuine,V12,V14,V3,V4,V10
82,Genuine,V12,V14,V11,V4,V10
83,Genuine,V14,V3,V10,V17,V12
84,Genuine,V12,V14,V3,V10,V17
85,Genuine,V14,V3,V10,V4,V17
86,Genuine,V14,V3,V11,V12,V17
87,Genuine,V14,V3,V11,V4,V12
88,Genuine,V12,V14,V3,V10,V17
89,Genuine,V14,V11,V3,V12,V10
90,Genuine,V14,V3,V12,V11,V10
91,Genuine,V4,V14,V3,V12,V10
92,Genuine,V12,V14,V3,V4,V10
93,Genuine,V4,V14,V12,V3,V10
94,Genuine,V12,V14,V3,V4,V10
95,Genuine,V14,V3,V4,V10,V17
96,Genuine,V10,V14,V12,V4,V11
97,Genuine,V12,V14,V3,V10,V17
