Feature,Importance
V14,0.19088698480262636
V10,0.11685130354148181
V12,0.1035338490990006
V4,0.1026804698416224
V17,0.09327160757088847
V16,0.05889854076489526
V3,0.05770290509918915
V11,0.05625887950640569
V2,0.03205205110818651
V7,0.021413102280144602
V9,0.01791663719176559
V21,0.01668225367113104
V8,0.014347740834100616
V18,0.012077910189386091
V27,0.011240432578287591
V19,0.010880678037841807
V5,0.01026067238142865
V1,0.00891984498329853
Amount,0.00751347580327422
V13,0.006989126391727936
V26,0.006424590324541134
V20,0.006250979122764311
V15,0.005848033744156185
V28,0.00495594638422395
V23,0.004647664578642921
V25,0.004490601644778065
Time,0.004475495205632973
V6,0.004435563869396597
V22,0.0040600680682214224
V24,0.00403259138095946
