Feature,SHAP Value
V28,0.0009026443971460072
Time,0.0006406099068115049
V27,-0.000734169964970158
V22,-0.0013056781125447472
V6,-0.0013114423022770184
V23,-0.0018838824184189455
V1,-0.0023959669021876044
V15,-0.002912339278926852
V24,-0.0029955720906420756
V13,-0.003016559958985789
V8,-0.003089740520477698
V20,-0.0032366490372073356
V21,-0.003544936875413392
Amount,-0.004000298611550184
V25,-0.004038709863967048
V9,-0.004043318319023971
V19,-0.004599815059130642
V5,-0.005697728567443384
V26,-0.005724650134010698
V2,-0.008784155955252214
V7,-0.0093637633431592
V18,-0.012149068721855658
V16,-0.016521787821906005
V4,-0.022664696826529013
V17,-0.03411335547744612
V10,-0.03847455405924607
V11,-0.06349475075093623
V3,-0.06951044420308679
V14,-0.07607079869905813
V12,-0.09268546693265643
