Feature,Importance
V14,0.0848286009341799
V12,0.07711022558029781
V4,0.06505850681149919
V3,0.05229285362930491
V10,0.04642172428526567
V11,0.036127573128306015
V17,0.03231283697897847
V16,0.021528859639607534
V7,0.00912015147706662
V8,0.009024179947358506
V2,0.008900067309692304
V1,0.00816381092836473
V18,0.007501728055784836
V5,0.0064213000049215515
V9,0.006212627846791657
V19,0.005233444088195254
V21,0.004618307583402029
Amount,0.004193242191138366
V13,0.0041630911449709665
V27,0.003546552823345831
V26,0.0034596872861178806
Time,0.0033759919165345484
V20,0.0032237181277400447
V15,0.003164378628240705
V24,0.0029530772673863133
V22,0.0028442738640795497
V28,0.0026411899725822955
V25,0.0025973155280398764
V23,0.0023219209844074747
V6,0.002105722537351195
