,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
Time,0.006159767786100978,0.0001735735438009391,0.00019846365150753405,0.0007653481818716521,0.0008215865182112738,0.0002013227538622649,7.442284914857243e-05,0.00017273405855801116,0.0002725400471517132,0.00016584325779891253,0.00045759946010710497,0.0003131122566933637,0.0005728612469462875,0.00020085620728760127,0.0011651708216669334,0.00016833779489974687,0.00015078374351066762,0.00036610164834551033,0.0003701920134244622,0.00016809566611824528,0.0001514558575365825,0.00015154753393356506,0.0001457051429323283,0.00012165857188820332,0.00012971050726408577,0.0001031990287819281,0.00014074526577505714,0.0001398028577756384,0.0001478178833662804,0.00014938093204799172
V1,0.0001735735438009391,0.011656137999278261,0.0006589879940457206,0.00046655437977965753,0.0017132549684124774,0.0003641575976320308,0.00010898499456729975,0.0003532183353126003,0.0004574596149393084,0.00028214085330336195,0.0006812359252924149,0.0007156486851672219,0.002415288912223122,0.00043507896677964905,0.0012983333743916837,0.00047197078346607256,0.00040913720409815863,0.0005565597516951449,0.00029788844016142673,0.00042171252751542834,0.00019671704522325437,0.00019720336593494995,0.00015784863076887372,0.00016924918832100032,0.00012507467647493846,0.00021590720869657553,0.00018984994536073193,0.00014476387585969248,0.00025365765717224784,0.000341245334013874
V2,0.0001984636515075338,0.0006589879940457209,0.01945014326271402,0.0017926780795152653,0.0020003087317165976,0.00034912134552396305,0.00012450420146179443,0.0005627675616500728,0.0006290375538908967,0.0004058915046601638,0.0005231058041417766,0.0015691509520861632,0.0016837117413760927,0.00023385120562023507,0.003211760173732745,0.00015366268651232276,0.0009113849318497495,0.000595792099240448,0.00035539873525951,0.0008192459787283291,0.00030631357951613913,0.00021590794612437282,0.00014144370637433326,0.00016979378894307608,0.00017375065450580925,0.00016052350630513528,0.00018707064472756155,0.0001853550276802526,0.00016491318146247616,0.00028931796356651925
V3,0.0007653481818716523,0.00046655437977965726,0.0017926780795152653,0.13555402657181884,0.009384044612965974,0.0004328313460649533,0.000245032434878787,0.0014340249873717775,0.0006818330012506377,0.00149467407960419,0.0101078517454951,0.00921488320976604,0.01918351972478966,0.0003538412051364473,0.017512884556570917,0.00043257282830177406,0.0028183004885215085,0.006090163820866642,0.000679317383054824,0.0003841299047421546,0.0004063087454565692,0.0003065076733511775,0.0002770415024628518,0.00016262011590709917,0.0006704428493644113,0.0001920100291021809,0.0003729490369807505,0.00039356137471413056,0.00034870424145668286,0.0002994946228530556
V4,0.0008215865182112743,0.0017132549684124767,0.002000308731716598,0.009384044612965978,0.12480050558409221,0.0027297196306211944,0.000717060096833951,0.0013886950139531922,0.0024798676787835417,0.001243384214236673,0.006932540159035442,0.007253138156438207,0.011360295104964746,0.0011915721597988327,0.012486691351004171,0.0009309964817000992,0.0018326304680896096,0.00257088630024003,0.0014489887874704055,0.0012727705054455995,0.0014029908596105067,0.0006574017667019272,0.0009579462618391417,0.0007171145454554602,0.0009507100745099451,0.0007328455904671842,0.0009492814257735422,0.0007908868886775755,0.0005879653427213804,0.0014326934775945532
V5,0.000201322753862265,0.000364157597632031,0.0003491213455239629,0.0004328313460649531,0.0027297196306211953,0.011050246947071428,0.0002163153544097474,0.0003504663792513227,0.0007359353622198022,0.00022064453667512186,0.0004264024320622781,0.0004697494132906447,0.0008792130412761017,0.00036123465766886657,0.0009892042931396636,0.00023045902884214254,0.00046572680478010114,0.0012530357695100397,0.0005551069084095518,0.0006789748503550995,0.0003436403194036548,0.00025899532524889036,0.0001943694812902774,0.00021155410785512002,0.0002407596002931967,0.0002558594798629276,0.00032217089888386815,0.00022893257466083172,0.00017903259927662784,0.0003464186272187379
V6,7.442284914857242e-05,0.00010898499456729979,0.00012450420146179443,0.0002450324348787871,0.0007170600968339513,0.00021631535440974744,0.00386982702604255,0.00013114940296140125,0.0002066310358517798,9.958288315331377e-05,0.0003773954387008542,0.00016101768739239217,0.00048375207460007606,8.627884829175335e-05,0.0008590981605929612,8.889234698324567e-05,0.0002247479678789293,0.0004511925386499898,0.0001803507329617238,0.0002726249099052876,8.243053165627916e-05,9.141560658677697e-05,0.0001019044972479615,0.0001091586926993159,9.790307428123145e-05,7.291275537192916e-05,8.69111974935977e-05,0.00012386867015242188,8.911527243144257e-05,0.00015370740384349822
V7,0.00017273405855801119,0.0003532183353126004,0.0005627675616500733,0.0014340249873717765,0.0013886950139531933,0.00035046637925132274,0.00013114940296140155,0.017193075537352904,0.0003498517487083007,0.00034687553713098917,0.0006120587413518141,0.0016006525718016437,0.0027557033819345118,0.0003930226185533229,0.0015508548724295413,0.00042109607038586135,0.0008179439857304726,0.000757658922864765,0.0008798487094295798,0.00038303057768438733,0.00012718092547137717,0.00024621894163804925,0.00021053842274602004,0.00040844547838032576,0.00018750173480526006,0.00025850234764656006,0.0003305181403662014,0.00032023795654504474,0.00016376993789607693,0.0002881018577065782
V8,0.0002725400471517132,0.0004574596149393086,0.000629037553890897,0.0006818330012506378,0.002479867678783542,0.0007359353622198018,0.00020663103585177994,0.00034985174870830074,0.01601135326580918,0.00031194742516199434,0.0009175708163648615,0.0005738441513789325,0.000978273310346671,0.000575443129278597,0.001548827879491054,0.00023644764747784836,0.00030040837884663993,0.0015175619380841856,0.0009953310491867997,0.00033703923508117113,0.0003976817342684951,0.00030419582032263626,0.00038913575402581486,0.00035066464053992664,0.00024030669193709738,0.0004218518742074307,0.00038628404173858387,0.00032136243706450194,0.00031042850829116975,0.0004504912950731258
V9,0.00016584325779891255,0.00028214085330336184,0.0004058915046601638,0.001494674079604192,0.0012433842142366728,0.0002206445366751219,9.95828831533137e-05,0.0003468755371309895,0.0003119474251619946,0.014075568259452933,0.001388515382178808,0.001387093832691174,0.001720450490978317,0.0002829455494853951,0.0015229486375684166,9.777084740947691e-05,0.00021299305522789504,0.0003562127448541484,0.00030937405198983606,0.00015837789372324368,0.000140900007762412,0.00018215338879615863,0.00014165401658664862,0.00011189922291607028,0.00013129636775581938,9.05402525953918e-05,0.00016632547410864,0.0002243705759138831,9.151876640139698e-05,0.0001725622225911466
