Feature 1,Feature 2,Interaction
V3,V12,0.01918351972478966
V3,V14,0.017512884556570917
V12,V14,0.0171482357314939
V10,V14,0.015292853154011861
V11,V14,0.013532427228045034
V12,V17,0.0127161550837473
V4,V14,0.012486691351004171
V10,V12,0.012024675964924245
V4,V12,0.011360295104964746
V11,V12,0.010848266826055074
V12,V16,0.010368461287673603
V3,V10,0.0101078517454951
V3,V4,0.009384044612965974
V3,V11,0.00921488320976604
V4,V11,0.007253138156438207
V4,V10,0.006932540159035442
V3,V17,0.006090163820866642
V10,V11,0.006065769530343212
V16,V17,0.005420087528080705
V2,V14,0.003211760173732745
V14,V17,0.003107313831235043
V14,V21,0.002861947015780062
V3,V16,0.0028183004885215085
V7,V12,0.0027557033819345118
V4,V5,0.0027297196306211944
V4,V17,0.00257088630024003
V4,V8,0.0024798676787835417
V1,V12,0.002415288912223122
V14,V16,0.002311397435170972
V14,V18,0.002164850900130994
V17,V18,0.0020080491058541384
V2,V4,0.0020003087317165976
V11,V16,0.0019204529350758267
V4,V16,0.0018326304680896096
V2,V3,0.0017926780795152653
V9,V12,0.001720450490978317
V1,V4,0.0017132549684124774
V2,V12,0.0016837117413760927
V7,V11,0.0016006525718016437
V2,V11,0.0015691509520861632
V10,V17,0.0015576000161841397
V7,V14,0.0015508548724295413
V8,V14,0.001548827879491054
V9,V14,0.0015229486375684166
V8,V17,0.0015175619380841856
V3,V9,0.00149467407960419
V4,V18,0.0014489887874704055
V3,V7,0.0014340249873717775
V4,Amount,0.0014326934775945532
V10,V16,0.0014286347701453412
V4,V20,0.0014029908596105067
V14,V27,0.0014029638488014596
V4,V7,0.0013886950139531922
V9,V10,0.001388515382178808
V9,V11,0.001387093832691174
V11,V17,0.0013869310021969062
V1,V14,0.0012983333743916837
V4,V19,0.0012727705054455995
V12,V21,0.0012649046723079455
V5,V17,0.0012530357695100397
V4,V9,0.001243384214236673
V12,V18,0.0012121885579523249
V4,V13,0.0011915721597988327
Time,V14,0.0011651708216669334
V13,V14,0.0010810868670876556
V14,V24,0.001044890738438936
V14,V26,0.00102527797730921
V8,V18,0.0009953310491867997
V5,V14,0.0009892042931396636
V8,V12,0.000978273310346671
V4,V22,0.0009579462618391417
V4,V24,0.0009507100745099451
V4,V26,0.0009492814257735422
V4,V15,0.0009309964817000992
V8,V10,0.0009175708163648615
V2,V16,0.0009113849318497495
V7,V18,0.0008798487094295798
V5,V12,0.0008792130412761017
